month,total.total,timeRange.start,timeRange.end
2009-02-17T00:00:00.000Z,936,2009-02-17T00:00:00.000Z,2009-02-18T00:00:00.000Z
2009-02-18T00:00:00.000Z,891,2009-02-18T00:00:00.000Z,2009-02-19T00:00:00.000Z
2009-02-19T00:00:00.000Z,862,2009-02-19T00:00:00.000Z,2009-02-20T00:00:00.000Z
2009-02-20T00:00:00.000Z,844,2009-02-20T00:00:00.000Z,2009-02-21T00:00:00.000Z
2009-02-21T00:00:00.000Z,872,2009-02-21T00:00:00.000Z,2009-02-22T00:00:00.000Z
2009-02-22T00:00:00.000Z,940,2009-02-22T00:00:00.000Z,2009-02-23T00:00:00.000Z
2009-02-23T00:00:00.000Z,905,2009-02-23T00:00:00.000Z,2009-02-24T00:00:00.000Z
2009-02-24T00:00:00.000Z,900,2009-02-24T00:00:00.000Z,2009-02-25T00:00:00.000Z
2009-02-25T00:00:00.000Z,866,2009-02-25T00:00:00.000Z,2009-02-26T00:00:00.000Z
2009-02-26T00:00:00.000Z,878,2009-02-26T00:00:00.000Z,2009-02-27T00:00:00.000Z
2009-02-27T00:00:00.000Z,871,2009-02-27T00:00:00.000Z,2009-02-28T00:00:00.000Z
2009-02-28T00:00:00.000Z,815,2009-02-28T00:00:00.000Z,2009-03-01T00:00:00.000Z
2009-03-01T00:00:00.000Z,923,2009-03-01T00:00:00.000Z,2009-03-02T00:00:00.000Z
2009-03-02T00:00:00.000Z,895,2009-03-02T00:00:00.000Z,2009-03-03T00:00:00.000Z
2009-03-03T00:00:00.000Z,913,2009-03-03T00:00:00.000Z,2009-03-04T00:00:00.000Z
2009-03-04T00:00:00.000Z,908,2009-03-04T00:00:00.000Z,2009-03-05T00:00:00.000Z
2009-03-05T00:00:00.000Z,891,2009-03-05T00:00:00.000Z,2009-03-06T00:00:00.000Z
2009-03-06T00:00:00.000Z,893,2009-03-06T00:00:00.000Z,2009-03-07T00:00:00.000Z
2009-03-07T00:00:00.000Z,887,2009-03-07T00:00:00.000Z,2009-03-08T00:00:00.000Z
2009-03-08T00:00:00.000Z,930,2009-03-08T00:00:00.000Z,2009-03-09T00:00:00.000Z
2009-03-09T00:00:00.000Z,910,2009-03-09T00:00:00.000Z,2009-03-10T00:00:00.000Z
2009-03-10T00:00:00.000Z,852,2009-03-10T00:00:00.000Z,2009-03-11T00:00:00.000Z
2009-03-11T00:00:00.000Z,856,2009-03-11T00:00:00.000Z,2009-03-12T00:00:00.000Z
2009-03-12T00:00:00.000Z,858,2009-03-12T00:00:00.000Z,2009-03-13T00:00:00.000Z
2009-03-13T00:00:00.000Z,862,2009-03-13T00:00:00.000Z,2009-03-14T00:00:00.000Z
2009-03-14T00:00:00.000Z,837,2009-03-14T00:00:00.000Z,2009-03-15T00:00:00.000Z
2009-03-15T00:00:00.000Z,857,2009-03-15T00:00:00.000Z,2009-03-16T00:00:00.000Z
2009-03-16T00:00:00.000Z,857,2009-03-16T00:00:00.000Z,2009-03-17T00:00:00.000Z
2009-03-17T00:00:00.000Z,837,2009-03-17T00:00:00.000Z,2009-03-18T00:00:00.000Z
2009-03-18T00:00:00.000Z,843,2009-03-18T00:00:00.000Z,2009-03-19T00:00:00.000Z
2009-03-19T00:00:00.000Z,850,2009-03-19T00:00:00.000Z,2009-03-20T00:00:00.000Z
2009-03-20T00:00:00.000Z,796,2009-03-20T00:00:00.000Z,2009-03-21T00:00:00.000Z
2009-03-21T00:00:00.000Z,839,2009-03-21T00:00:00.000Z,2009-03-22T00:00:00.000Z
2009-03-22T00:00:00.000Z,870,2009-03-22T00:00:00.000Z,2009-03-23T00:00:00.000Z
2009-03-23T00:00:00.000Z,838,2009-03-23T00:00:00.000Z,2009-03-24T00:00:00.000Z
2009-03-24T00:00:00.000Z,893,2009-03-24T00:00:00.000Z,2009-03-25T00:00:00.000Z
2009-03-25T00:00:00.000Z,850,2009-03-25T00:00:00.000Z,2009-03-26T00:00:00.000Z
2009-03-26T00:00:00.000Z,802,2009-03-26T00:00:00.000Z,2009-03-27T00:00:00.000Z
2009-03-27T00:00:00.000Z,820,2009-03-27T00:00:00.000Z,2009-03-28T00:00:00.000Z
2009-03-28T00:00:00.000Z,822,2009-03-28T00:00:00.000Z,2009-03-29T00:00:00.000Z
2009-03-29T00:00:00.000Z,813,2009-03-29T00:00:00.000Z,2009-03-30T00:00:00.000Z
2009-03-30T00:00:00.000Z,859,2009-03-30T00:00:00.000Z,2009-03-31T00:00:00.000Z
2009-03-31T00:00:00.000Z,840,2009-03-31T00:00:00.000Z,2009-04-01T00:00:00.000Z
2009-04-01T00:00:00.000Z,841,2009-04-01T00:00:00.000Z,2009-04-02T00:00:00.000Z
2009-04-02T00:00:00.000Z,810,2009-04-02T00:00:00.000Z,2009-04-03T00:00:00.000Z
2009-04-03T00:00:00.000Z,833,2009-04-03T00:00:00.000Z,2009-04-04T00:00:00.000Z
2009-04-04T00:00:00.000Z,816,2009-04-04T00:00:00.000Z,2009-04-05T00:00:00.000Z
2009-04-05T00:00:00.000Z,836,2009-04-05T00:00:00.000Z,2009-04-06T00:00:00.000Z
2009-04-06T00:00:00.000Z,905,2009-04-06T00:00:00.000Z,2009-04-07T00:00:00.000Z
2009-04-07T00:00:00.000Z,911,2009-04-07T00:00:00.000Z,2009-04-08T00:00:00.000Z
2009-04-08T00:00:00.000Z,912,2009-04-08T00:00:00.000Z,2009-04-09T00:00:00.000Z
2009-04-09T00:00:00.000Z,844,2009-04-09T00:00:00.000Z,2009-04-10T00:00:00.000Z
2009-04-10T00:00:00.000Z,856,2009-04-10T00:00:00.000Z,2009-04-11T00:00:00.000Z
2009-04-11T00:00:00.000Z,780,2009-04-11T00:00:00.000Z,2009-04-12T00:00:00.000Z
2009-04-12T00:00:00.000Z,796,2009-04-12T00:00:00.000Z,2009-04-13T00:00:00.000Z
2009-04-13T00:00:00.000Z,846,2009-04-13T00:00:00.000Z,2009-04-14T00:00:00.000Z
2009-04-14T00:00:00.000Z,873,2009-04-14T00:00:00.000Z,2009-04-15T00:00:00.000Z
2009-04-15T00:00:00.000Z,885,2009-04-15T00:00:00.000Z,2009-04-16T00:00:00.000Z
2009-04-16T00:00:00.000Z,855,2009-04-16T00:00:00.000Z,2009-04-17T00:00:00.000Z
2009-04-17T00:00:00.000Z,894,2009-04-17T00:00:00.000Z,2009-04-18T00:00:00.000Z
2009-04-18T00:00:00.000Z,879,2009-04-18T00:00:00.000Z,2009-04-19T00:00:00.000Z
2009-04-19T00:00:00.000Z,880,2009-04-19T00:00:00.000Z,2009-04-20T00:00:00.000Z
2009-04-20T00:00:00.000Z,922,2009-04-20T00:00:00.000Z,2009-04-21T00:00:00.000Z
2009-04-21T00:00:00.000Z,888,2009-04-21T00:00:00.000Z,2009-04-22T00:00:00.000Z
2009-04-22T00:00:00.000Z,867,2009-04-22T00:00:00.000Z,2009-04-23T00:00:00.000Z
2009-04-23T00:00:00.000Z,828,2009-04-23T00:00:00.000Z,2009-04-24T00:00:00.000Z
2009-04-24T00:00:00.000Z,839,2009-04-24T00:00:00.000Z,2009-04-25T00:00:00.000Z
2009-04-25T00:00:00.000Z,848,2009-04-25T00:00:00.000Z,2009-04-26T00:00:00.000Z
2009-04-26T00:00:00.000Z,881,2009-04-26T00:00:00.000Z,2009-04-27T00:00:00.000Z
2009-04-27T00:00:00.000Z,897,2009-04-27T00:00:00.000Z,2009-04-28T00:00:00.000Z
2009-04-28T00:00:00.000Z,887,2009-04-28T00:00:00.000Z,2009-04-29T00:00:00.000Z
2009-04-29T00:00:00.000Z,907,2009-04-29T00:00:00.000Z,2009-04-30T00:00:00.000Z
2009-04-30T00:00:00.000Z,849,2009-04-30T00:00:00.000Z,2009-05-01T00:00:00.000Z
2009-05-01T00:00:00.000Z,878,2009-05-01T00:00:00.000Z,2009-05-02T00:00:00.000Z
2009-05-02T00:00:00.000Z,818,2009-05-02T00:00:00.000Z,2009-05-03T00:00:00.000Z
2009-05-03T00:00:00.000Z,892,2009-05-03T00:00:00.000Z,2009-05-04T00:00:00.000Z
2009-05-04T00:00:00.000Z,868,2009-05-04T00:00:00.000Z,2009-05-05T00:00:00.000Z
2009-05-05T00:00:00.000Z,911,2009-05-05T00:00:00.000Z,2009-05-06T00:00:00.000Z
2009-05-06T00:00:00.000Z,885,2009-05-06T00:00:00.000Z,2009-05-07T00:00:00.000Z
2009-05-07T00:00:00.000Z,827,2009-05-07T00:00:00.000Z,2009-05-08T00:00:00.000Z
2009-05-08T00:00:00.000Z,867,2009-05-08T00:00:00.000Z,2009-05-09T00:00:00.000Z
2009-05-09T00:00:00.000Z,856,2009-05-09T00:00:00.000Z,2009-05-10T00:00:00.000Z
2009-05-10T00:00:00.000Z,892,2009-05-10T00:00:00.000Z,2009-05-11T00:00:00.000Z
2009-05-11T00:00:00.000Z,877,2009-05-11T00:00:00.000Z,2009-05-12T00:00:00.000Z
2009-05-12T00:00:00.000Z,913,2009-05-12T00:00:00.000Z,2009-05-13T00:00:00.000Z
2009-05-13T00:00:00.000Z,973,2009-05-13T00:00:00.000Z,2009-05-14T00:00:00.000Z
2009-05-14T00:00:00.000Z,916,2009-05-14T00:00:00.000Z,2009-05-15T00:00:00.000Z
2009-05-15T00:00:00.000Z,906,2009-05-15T00:00:00.000Z,2009-05-16T00:00:00.000Z
2009-05-16T00:00:00.000Z,875,2009-05-16T00:00:00.000Z,2009-05-17T00:00:00.000Z
2009-05-17T00:00:00.000Z,928,2009-05-17T00:00:00.000Z,2009-05-18T00:00:00.000Z
2009-05-18T00:00:00.000Z,906,2009-05-18T00:00:00.000Z,2009-05-19T00:00:00.000Z
2009-05-19T00:00:00.000Z,918,2009-05-19T00:00:00.000Z,2009-05-20T00:00:00.000Z
2009-05-20T00:00:00.000Z,918,2009-05-20T00:00:00.000Z,2009-05-21T00:00:00.000Z
2009-05-21T00:00:00.000Z,874,2009-05-21T00:00:00.000Z,2009-05-22T00:00:00.000Z
2009-05-22T00:00:00.000Z,869,2009-05-22T00:00:00.000Z,2009-05-23T00:00:00.000Z
2009-05-23T00:00:00.000Z,854,2009-05-23T00:00:00.000Z,2009-05-24T00:00:00.000Z
2009-05-24T00:00:00.000Z,886,2009-05-24T00:00:00.000Z,2009-05-25T00:00:00.000Z
2009-05-25T00:00:00.000Z,906,2009-05-25T00:00:00.000Z,2009-05-26T00:00:00.000Z
2009-05-26T00:00:00.000Z,932,2009-05-26T00:00:00.000Z,2009-05-27T00:00:00.000Z
2009-05-27T00:00:00.000Z,949,2009-05-27T00:00:00.000Z,2009-05-28T00:00:00.000Z
2009-05-28T00:00:00.000Z,861,2009-05-28T00:00:00.000Z,2009-05-29T00:00:00.000Z
2009-05-29T00:00:00.000Z,882,2009-05-29T00:00:00.000Z,2009-05-30T00:00:00.000Z
2009-05-30T00:00:00.000Z,855,2009-05-30T00:00:00.000Z,2009-05-31T00:00:00.000Z
2009-05-31T00:00:00.000Z,888,2009-05-31T00:00:00.000Z,2009-06-01T00:00:00.000Z
2009-06-01T00:00:00.000Z,973,2009-06-01T00:00:00.000Z,2009-06-02T00:00:00.000Z
2009-06-02T00:00:00.000Z,891,2009-06-02T00:00:00.000Z,2009-06-03T00:00:00.000Z
2009-06-03T00:00:00.000Z,941,2009-06-03T00:00:00.000Z,2009-06-04T00:00:00.000Z
2009-06-04T00:00:00.000Z,888,2009-06-04T00:00:00.000Z,2009-06-05T00:00:00.000Z
2009-06-05T00:00:00.000Z,909,2009-06-05T00:00:00.000Z,2009-06-06T00:00:00.000Z
2009-06-06T00:00:00.000Z,875,2009-06-06T00:00:00.000Z,2009-06-07T00:00:00.000Z
2009-06-07T00:00:00.000Z,911,2009-06-07T00:00:00.000Z,2009-06-08T00:00:00.000Z
2009-06-08T00:00:00.000Z,970,2009-06-08T00:00:00.000Z,2009-06-09T00:00:00.000Z
2009-06-09T00:00:00.000Z,953,2009-06-09T00:00:00.000Z,2009-06-10T00:00:00.000Z
2009-06-10T00:00:00.000Z,936,2009-06-10T00:00:00.000Z,2009-06-11T00:00:00.000Z
2009-06-11T00:00:00.000Z,891,2009-06-11T00:00:00.000Z,2009-06-12T00:00:00.000Z
2009-06-12T00:00:00.000Z,889,2009-06-12T00:00:00.000Z,2009-06-13T00:00:00.000Z
2009-06-13T00:00:00.000Z,823,2009-06-13T00:00:00.000Z,2009-06-14T00:00:00.000Z
2009-06-14T00:00:00.000Z,865,2009-06-14T00:00:00.000Z,2009-06-15T00:00:00.000Z
2009-06-15T00:00:00.000Z,894,2009-06-15T00:00:00.000Z,2009-06-16T00:00:00.000Z
2009-06-16T00:00:00.000Z,901,2009-06-16T00:00:00.000Z,2009-06-17T00:00:00.000Z
2009-06-17T00:00:00.000Z,862,2009-06-17T00:00:00.000Z,2009-06-18T00:00:00.000Z
2009-06-18T00:00:00.000Z,932,2009-06-18T00:00:00.000Z,2009-06-19T00:00:00.000Z
2009-06-19T00:00:00.000Z,857,2009-06-19T00:00:00.000Z,2009-06-20T00:00:00.000Z
2009-06-20T00:00:00.000Z,788,2009-06-20T00:00:00.000Z,2009-06-21T00:00:00.000Z
