month,total.total,timeRange.start,timeRange.end
2003-12-27T00:00:00.000Z,38,2003-12-27T00:00:00.000Z,2003-12-28T00:00:00.000Z
2003-12-28T00:00:00.000Z,1,2003-12-28T00:00:00.000Z,2003-12-29T00:00:00.000Z
2003-12-29T00:00:00.000Z,0,2003-12-29T00:00:00.000Z,2003-12-30T00:00:00.000Z
2003-12-30T00:00:00.000Z,25,2003-12-30T00:00:00.000Z,2003-12-31T00:00:00.000Z
2003-12-31T00:00:00.000Z,36,2003-12-31T00:00:00.000Z,2004-01-01T00:00:00.000Z
2004-01-01T00:00:00.000Z,41,2004-01-01T00:00:00.000Z,2004-01-02T00:00:00.000Z
2004-01-02T00:00:00.000Z,46,2004-01-02T00:00:00.000Z,2004-01-03T00:00:00.000Z
2004-01-03T00:00:00.000Z,52,2004-01-03T00:00:00.000Z,2004-01-04T00:00:00.000Z
2004-01-04T00:00:00.000Z,40,2004-01-04T00:00:00.000Z,2004-01-05T00:00:00.000Z
2004-01-05T00:00:00.000Z,45,2004-01-05T00:00:00.000Z,2004-01-06T00:00:00.000Z
2004-01-06T00:00:00.000Z,44,2004-01-06T00:00:00.000Z,2004-01-07T00:00:00.000Z
2004-01-07T00:00:00.000Z,49,2004-01-07T00:00:00.000Z,2004-01-08T00:00:00.000Z
2004-01-08T00:00:00.000Z,36,2004-01-08T00:00:00.000Z,2004-01-09T00:00:00.000Z
2004-01-09T00:00:00.000Z,45,2004-01-09T00:00:00.000Z,2004-01-10T00:00:00.000Z
2004-01-10T00:00:00.000Z,46,2004-01-10T00:00:00.000Z,2004-01-11T00:00:00.000Z
2004-01-11T00:00:00.000Z,41,2004-01-11T00:00:00.000Z,2004-01-12T00:00:00.000Z
2004-01-12T00:00:00.000Z,41,2004-01-12T00:00:00.000Z,2004-01-13T00:00:00.000Z
2004-01-13T00:00:00.000Z,41,2004-01-13T00:00:00.000Z,2004-01-14T00:00:00.000Z
2004-01-14T00:00:00.000Z,38,2004-01-14T00:00:00.000Z,2004-01-15T00:00:00.000Z
2004-01-15T00:00:00.000Z,43,2004-01-15T00:00:00.000Z,2004-01-16T00:00:00.000Z
2004-01-16T00:00:00.000Z,45,2004-01-16T00:00:00.000Z,2004-01-17T00:00:00.000Z
2004-01-17T00:00:00.000Z,40,2004-01-17T00:00:00.000Z,2004-01-18T00:00:00.000Z
2004-01-18T00:00:00.000Z,31,2004-01-18T00:00:00.000Z,2004-01-19T00:00:00.000Z
2004-01-19T00:00:00.000Z,31,2004-01-19T00:00:00.000Z,2004-01-20T00:00:00.000Z
