month,total.total,timeRange.start,timeRange.end
2001-01-01T00:00:00.000Z,0,2001-01-01T00:00:00.000Z,2001-01-02T00:00:00.000Z
2001-01-02T00:00:00.000Z,0,2001-01-02T00:00:00.000Z,2001-01-03T00:00:00.000Z
2001-01-03T00:00:00.000Z,0,2001-01-03T00:00:00.000Z,2001-01-04T00:00:00.000Z
2001-01-04T00:00:00.000Z,0,2001-01-04T00:00:00.000Z,2001-01-05T00:00:00.000Z
2001-01-05T00:00:00.000Z,0,2001-01-05T00:00:00.000Z,2001-01-06T00:00:00.000Z
2001-01-06T00:00:00.000Z,0,2001-01-06T00:00:00.000Z,2001-01-07T00:00:00.000Z
2001-01-07T00:00:00.000Z,0,2001-01-07T00:00:00.000Z,2001-01-08T00:00:00.000Z
2001-01-08T00:00:00.000Z,0,2001-01-08T00:00:00.000Z,2001-01-09T00:00:00.000Z
2001-01-09T00:00:00.000Z,0,2001-01-09T00:00:00.000Z,2001-01-10T00:00:00.000Z
2001-01-10T00:00:00.000Z,0,2001-01-10T00:00:00.000Z,2001-01-11T00:00:00.000Z
2001-01-11T00:00:00.000Z,0,2001-01-11T00:00:00.000Z,2001-01-12T00:00:00.000Z
2001-01-12T00:00:00.000Z,0,2001-01-12T00:00:00.000Z,2001-01-13T00:00:00.000Z
2001-01-13T00:00:00.000Z,0,2001-01-13T00:00:00.000Z,2001-01-14T00:00:00.000Z
2001-01-14T00:00:00.000Z,0,2001-01-14T00:00:00.000Z,2001-01-15T00:00:00.000Z
2001-01-15T00:00:00.000Z,0,2001-01-15T00:00:00.000Z,2001-01-16T00:00:00.000Z
2001-01-16T00:00:00.000Z,0,2001-01-16T00:00:00.000Z,2001-01-17T00:00:00.000Z
2001-01-17T00:00:00.000Z,0,2001-01-17T00:00:00.000Z,2001-01-18T00:00:00.000Z
2001-01-18T00:00:00.000Z,0,2001-01-18T00:00:00.000Z,2001-01-19T00:00:00.000Z
2001-01-19T00:00:00.000Z,0,2001-01-19T00:00:00.000Z,2001-01-20T00:00:00.000Z
2001-01-20T00:00:00.000Z,0,2001-01-20T00:00:00.000Z,2001-01-21T00:00:00.000Z
2001-01-21T00:00:00.000Z,0,2001-01-21T00:00:00.000Z,2001-01-22T00:00:00.000Z
2001-01-22T00:00:00.000Z,0,2001-01-22T00:00:00.000Z,2001-01-23T00:00:00.000Z
2001-01-23T00:00:00.000Z,0,2001-01-23T00:00:00.000Z,2001-01-24T00:00:00.000Z
2001-01-24T00:00:00.000Z,0,2001-01-24T00:00:00.000Z,2001-01-25T00:00:00.000Z
2001-01-25T00:00:00.000Z,0,2001-01-25T00:00:00.000Z,2001-01-26T00:00:00.000Z
2001-01-26T00:00:00.000Z,0,2001-01-26T00:00:00.000Z,2001-01-27T00:00:00.000Z
2001-01-27T00:00:00.000Z,0,2001-01-27T00:00:00.000Z,2001-01-28T00:00:00.000Z
2001-01-28T00:00:00.000Z,0,2001-01-28T00:00:00.000Z,2001-01-29T00:00:00.000Z
2001-01-29T00:00:00.000Z,0,2001-01-29T00:00:00.000Z,2001-01-30T00:00:00.000Z
2001-01-30T00:00:00.000Z,0,2001-01-30T00:00:00.000Z,2001-01-31T00:00:00.000Z
2001-01-31T00:00:00.000Z,0,2001-01-31T00:00:00.000Z,2001-02-01T00:00:00.000Z
2001-02-01T00:00:00.000Z,0,2001-02-01T00:00:00.000Z,2001-02-02T00:00:00.000Z
2001-02-02T00:00:00.000Z,0,2001-02-02T00:00:00.000Z,2001-02-03T00:00:00.000Z
2001-02-03T00:00:00.000Z,0,2001-02-03T00:00:00.000Z,2001-02-04T00:00:00.000Z
2001-02-04T00:00:00.000Z,0,2001-02-04T00:00:00.000Z,2001-02-05T00:00:00.000Z
2001-02-05T00:00:00.000Z,0,2001-02-05T00:00:00.000Z,2001-02-06T00:00:00.000Z
2001-02-06T00:00:00.000Z,0,2001-02-06T00:00:00.000Z,2001-02-07T00:00:00.000Z
2001-02-07T00:00:00.000Z,0,2001-02-07T00:00:00.000Z,2001-02-08T00:00:00.000Z
2001-02-08T00:00:00.000Z,0,2001-02-08T00:00:00.000Z,2001-02-09T00:00:00.000Z
2001-02-09T00:00:00.000Z,0,2001-02-09T00:00:00.000Z,2001-02-10T00:00:00.000Z
2001-02-10T00:00:00.000Z,0,2001-02-10T00:00:00.000Z,2001-02-11T00:00:00.000Z
2001-02-11T00:00:00.000Z,0,2001-02-11T00:00:00.000Z,2001-02-12T00:00:00.000Z
2001-02-12T00:00:00.000Z,0,2001-02-12T00:00:00.000Z,2001-02-13T00:00:00.000Z
2001-02-13T00:00:00.000Z,0,2001-02-13T00:00:00.000Z,2001-02-14T00:00:00.000Z
2001-02-14T00:00:00.000Z,0,2001-02-14T00:00:00.000Z,2001-02-15T00:00:00.000Z
2001-02-15T00:00:00.000Z,0,2001-02-15T00:00:00.000Z,2001-02-16T00:00:00.000Z
2001-02-16T00:00:00.000Z,0,2001-02-16T00:00:00.000Z,2001-02-17T00:00:00.000Z
2001-02-17T00:00:00.000Z,0,2001-02-17T00:00:00.000Z,2001-02-18T00:00:00.000Z
2001-02-18T00:00:00.000Z,0,2001-02-18T00:00:00.000Z,2001-02-19T00:00:00.000Z
2001-02-19T00:00:00.000Z,0,2001-02-19T00:00:00.000Z,2001-02-20T00:00:00.000Z
2001-02-20T00:00:00.000Z,0,2001-02-20T00:00:00.000Z,2001-02-21T00:00:00.000Z
2001-02-21T00:00:00.000Z,0,2001-02-21T00:00:00.000Z,2001-02-22T00:00:00.000Z
2001-02-22T00:00:00.000Z,0,2001-02-22T00:00:00.000Z,2001-02-23T00:00:00.000Z
2001-02-23T00:00:00.000Z,0,2001-02-23T00:00:00.000Z,2001-02-24T00:00:00.000Z
2001-02-24T00:00:00.000Z,0,2001-02-24T00:00:00.000Z,2001-02-25T00:00:00.000Z
2001-02-25T00:00:00.000Z,0,2001-02-25T00:00:00.000Z,2001-02-26T00:00:00.000Z
2001-02-26T00:00:00.000Z,0,2001-02-26T00:00:00.000Z,2001-02-27T00:00:00.000Z
2001-02-27T00:00:00.000Z,0,2001-02-27T00:00:00.000Z,2001-02-28T00:00:00.000Z
2001-02-28T00:00:00.000Z,0,2001-02-28T00:00:00.000Z,2001-03-01T00:00:00.000Z
2001-03-01T00:00:00.000Z,0,2001-03-01T00:00:00.000Z,2001-03-02T00:00:00.000Z
2001-03-02T00:00:00.000Z,0,2001-03-02T00:00:00.000Z,2001-03-03T00:00:00.000Z
2001-03-03T00:00:00.000Z,0,2001-03-03T00:00:00.000Z,2001-03-04T00:00:00.000Z
2001-03-04T00:00:00.000Z,0,2001-03-04T00:00:00.000Z,2001-03-05T00:00:00.000Z
2001-03-05T00:00:00.000Z,0,2001-03-05T00:00:00.000Z,2001-03-06T00:00:00.000Z
2001-03-06T00:00:00.000Z,0,2001-03-06T00:00:00.000Z,2001-03-07T00:00:00.000Z
2001-03-07T00:00:00.000Z,0,2001-03-07T00:00:00.000Z,2001-03-08T00:00:00.000Z
2001-03-08T00:00:00.000Z,0,2001-03-08T00:00:00.000Z,2001-03-09T00:00:00.000Z
2001-03-09T00:00:00.000Z,0,2001-03-09T00:00:00.000Z,2001-03-10T00:00:00.000Z
2001-03-10T00:00:00.000Z,0,2001-03-10T00:00:00.000Z,2001-03-11T00:00:00.000Z
2001-03-11T00:00:00.000Z,0,2001-03-11T00:00:00.000Z,2001-03-12T00:00:00.000Z
2001-03-12T00:00:00.000Z,0,2001-03-12T00:00:00.000Z,2001-03-13T00:00:00.000Z
2001-03-13T00:00:00.000Z,0,2001-03-13T00:00:00.000Z,2001-03-14T00:00:00.000Z
2001-03-14T00:00:00.000Z,0,2001-03-14T00:00:00.000Z,2001-03-15T00:00:00.000Z
2001-03-15T00:00:00.000Z,0,2001-03-15T00:00:00.000Z,2001-03-16T00:00:00.000Z
2001-03-16T00:00:00.000Z,0,2001-03-16T00:00:00.000Z,2001-03-17T00:00:00.000Z
2001-03-17T00:00:00.000Z,0,2001-03-17T00:00:00.000Z,2001-03-18T00:00:00.000Z
2001-03-18T00:00:00.000Z,0,2001-03-18T00:00:00.000Z,2001-03-19T00:00:00.000Z
2001-03-19T00:00:00.000Z,0,2001-03-19T00:00:00.000Z,2001-03-20T00:00:00.000Z
2001-03-20T00:00:00.000Z,0,2001-03-20T00:00:00.000Z,2001-03-21T00:00:00.000Z
2001-03-21T00:00:00.000Z,0,2001-03-21T00:00:00.000Z,2001-03-22T00:00:00.000Z
2001-03-22T00:00:00.000Z,0,2001-03-22T00:00:00.000Z,2001-03-23T00:00:00.000Z
2001-03-23T00:00:00.000Z,0,2001-03-23T00:00:00.000Z,2001-03-24T00:00:00.000Z
2001-03-24T00:00:00.000Z,0,2001-03-24T00:00:00.000Z,2001-03-25T00:00:00.000Z
2001-03-25T00:00:00.000Z,0,2001-03-25T00:00:00.000Z,2001-03-26T00:00:00.000Z
2001-03-26T00:00:00.000Z,0,2001-03-26T00:00:00.000Z,2001-03-27T00:00:00.000Z
2001-03-27T00:00:00.000Z,0,2001-03-27T00:00:00.000Z,2001-03-28T00:00:00.000Z
2001-03-28T00:00:00.000Z,0,2001-03-28T00:00:00.000Z,2001-03-29T00:00:00.000Z
2001-03-29T00:00:00.000Z,0,2001-03-29T00:00:00.000Z,2001-03-30T00:00:00.000Z
2001-03-30T00:00:00.000Z,0,2001-03-30T00:00:00.000Z,2001-03-31T00:00:00.000Z
2001-03-31T00:00:00.000Z,0,2001-03-31T00:00:00.000Z,2001-04-01T00:00:00.000Z
2001-04-01T00:00:00.000Z,0,2001-04-01T00:00:00.000Z,2001-04-02T00:00:00.000Z
2001-04-02T00:00:00.000Z,0,2001-04-02T00:00:00.000Z,2001-04-03T00:00:00.000Z
2001-04-03T00:00:00.000Z,0,2001-04-03T00:00:00.000Z,2001-04-04T00:00:00.000Z
2001-04-04T00:00:00.000Z,0,2001-04-04T00:00:00.000Z,2001-04-05T00:00:00.000Z
