Citing sources	Content guide	(?:\bW(?:P:(?:I(?:N(?:LINEC(?:ITE(?:CLUTTER)?|LUTTER)|TE(?:GRITY|XT)|DICATEAVAIL|CITE)|LCLUTTER|BID)|C(?:ITE(?:(?:BUNDL|TYP)E|S(?:HORT|TYLE)|CONSENSUS|FOOT|HOW|VAR|WEB)?|S)|S(?:AYWHERE(?:YOU(?:READ|GOT)IT)?|OURCELINKS|WY[GR]T|FN)|(?:WH(?:EN(?:NOTCIT|INROM)|YCIT)|(?:HOW|NO)CIT)E|B(?:OOKLINKS|UNDLING|LPCITE)|D(?:UPCITES|EADREF)|PAGE(?:LINKS|NUM)|G(?:BOOKS|ENREF)|ASL|REF)|ikipedia:Citing sources))
Content forking	Content guide	(?:\bW(?:P:(?:C(?:ONTENTFORK(?:ING)?|FORK)|RE(?:DUNDANTFORK|LART?)|POV(?:SPLIT|FORK)|S(?:PINOFF|UBPOV))|ikipedia:Content forking))
External links	Content guide	(?:\bW(?:P:(?:E(?:L(?:M(?:IN(?:OFFICIAL)?|AYBE)|B(?:URDEN|LP)|PO(?:INTS|V)|D(?:EAD|UP)|N(?:EVER|O)|R(?:EG|C)|T(?:EMP)?|OFFICIAL|#ADV|CITE|LIST|YES|WD)?|XT)|(?:COPYVIO|NONENG)EL|Y(?:OUTUBE|T)|LINKSTOAVOID|RICHMEDIA|ADV)|ikipedia:External links))
Fringe theories	Content guide	(?:\bW(?:P:(?:F(?:R(?:IN(?:GE(?:LEVEL|/PS|BLP)?|D)|NG)|DESC)|(?:EVAL|BLP|N)FRINGE|P(?:ROFRINGE|ARITY)|ONEWAY|DESCF|ITA)|ikipedia:Fringe theories))
Images	Content guide	(?:\bW(?:P:(?:PICTURES?|IMAGES?)|ikipedia:Images))
No disclaimers in articles	Content guide	(?:\bW(?:P:(?:N(?:ODISCLAIMERS|D[AT])|DISCLAIM)|ikipedia:No disclaimers in articles))
Non-free content	Content guide	(?:\bW(?:P:(?:N(?:F(?:C(?:[IP]|#(?:UU(?:LP|I)|CS)|C(?:EG?|P))?|LISTS|TABLE|EXMP|G)|ONFREE)|I(?:mage resolution|MAGERES)|F(?:AIRUSE |REER)?|TOP100|GETTY)|ikipedia:Non-free content))
Plagiarism	Content guide	(?:\bW(?:P:(?:(?:FREECOPYIN|NONENGPLA)G|PLAG(?:FORMS?|IARISM)?)|ikipedia:Plagiarism))
Reliable sources	Content guide	(?:\bW(?:P:(?:R(?:S(?:/(?:[AM]C|SPS)|BREAKING|CONTEXT|OPINION|PRIMARY| AGE|SELF)?|EL(?:IAB(?:ILITY|LE)|Y))|S(?:CHOLARSHIP|OURCETYPES|ELFSOURCE|PONSORED)|U(?:SE(?:RG(?:ENERATED)?|BYOTHERS)|BO|GC)|(?:CONTEXTMATTE|WPNOT)RS|A(?:GE MATTERS|FFILIATE)|P(?:UBLISHED|ARTISAN)|QUESTION(?:ABLE|ED)|BIASED(?:SOURCES)?|NEWSORG)|ikipedia:Reliable sources))
Spoiler	Content guide	(?:\bW(?:P:(?:S(?:POIL(?:ER(?:ALERT)?)?|W )|PREVIEWS)|ikipedia:Spoiler))
Wikipedia is not for things made up one day	Content guide	(?:\bW(?:ikipedia:Wikipedia is not for things made up one day|P:(?:N(?:OTMADEUP|FT)|SCRABBLE|MADEUP|ONEDAY|1DAY )))
Accuracy dispute	Content guide	(?:\bW(?:P:(?:D(?:ISPUTED|UBIOUS)|AD)|ikipedia:Accuracy dispute))
Anarchism referencing guidelines	Content guide	(?:\bW(?:P:A(?:N(?: OPINION|CITE)|LL ANARCHISTS|RGH)|ikipedia:Anarchism referencing guidelines))
Do not create hoaxes	Content guide	(?:\bW(?:P:(?:D(?:(?:ONT|W)HOAX|NCH)|N(?:OHOAXES|HOAX)|HOAX)|ikipedia:Do not create hoaxes))
Do not include the full text of lengthy primary sources	Content guide	(?:\bW(?:ikipedia:Do not include the full text of lengthy primary sources|P:N(?:OFULLTEXT|PS)))
Logos	Content guide	(?:\bW(?:P:(?:BANDLOGO|LOGOS?)|ikipedia:Logos))
No 3D illustrations	Content guide	(?:\bW(?:ikipedia:No 3D illustrations|P:3D))
Non-U.S. copyrights	Content guide	(?:\bW(?:ikipedia:Non-U.S. copyrights|P:(?:NUSC|URAA)))
Offensive material	Content guide	(?:\bW(?:P:(?:(?:BOWDLERIZ|PROFAN)E|G(?:RATUITOUS|FFENSE)|F*\**|SHIT|OM)|ikipedia:Offensive material))
Patent nonsense	Content guide	(?:\bW(?:P:(?:P(?:ATENT|N)|NONSENSE)|ikipedia:Patent nonsense))
Portal guidelines	Content guide	(?:\bW(?:ikipedia:Portal/Guidelines|P:PO(?:RT)?G))
Spam	Content guide	(?:\bW(?:P:(?:SPAM(?:LINKS?|#LINK|BAIT|MER)?|A(?:D(?:MAS[KQ]|S)|RTSPAM)|(?:CITE|LINK|REF)SPAM|B(?:OOKSPAM|ROCHURE)|OTHERSPAM(?:EXISTS)?|EXTPROMO)|ikipedia:Spam))
Television Episodes	Content guide	(?:\bW(?:ikipedia:Television episodes|P:(?:EPISODE|TVEP)))
Record Charts	Content guide	(?:\bW(?:P:(?:(?:(?:B(?:ILLBOAR|A)|GOO)D|OKAY|US)CHARTS|SINGLE(?:NETWORK|VENDOR)|CHART(?:MATH|TRAJ)?)|ikipedia:Record charts))
WikiProject Days of the year articles	Content guide	(?:\bW(?:P:(?:D(?:O(?:Y(?:CITE)?|TY)|EATHDOY)|BIRTHDOY|NGS)|ikipedia:Days of the year))
Video games articles	Content guide	(?:\bW(?:P:(?:VG(?:/(?:P(?:O[PV]|LOT)|(?:MIXE|LEA)D|RE(?:LEASE|C)|DATE(?:CAT)?|CONTENT|NONENG|STYLE|EL|JP)|IMAGES|JARGON|LAYOUT|ORDER|SCOPE|BOX)|GAMECRUFT|MOSVG|JFN)|ikipedia:Manual of Style/Video games))
