Language,Rule Name,number_revisions,number_unique_users,ILLs Total,ILLs in Set,,,,
de,Portal:Berge und Gebirge/Relevanzkriterien und Regeln,82,21,0,0,,,,
de,Portal:Hund/Leitlinien,37,8,0,0,,,,
de,Portal:Waffen/Namenskonventionen,21,8,0,0,,,,
de,Portal:Wirtschaft/Richtlinien,11,5,0,0,,,,
de,Wikipedia:Allgemeinverständlichkeit,462,263,0,0,,,,
de,Wikipedia:Barrierefreiheit,133,69,0,0,,,,
de,Wikipedia:Belege/Recht,85,48,0,0,,,,
de,Wikipedia:Enzyklopädische Fotografie,116,43,0,0,,,,
de,Wikipedia:Fremdwortformatierung,135,82,0,0,,,,
de,Wikipedia:Koranzitate,63,41,0,0,,,,
de,Wikipedia:Namensgebung biblische Namen,27,15,0,0,,,,
de,Wikipedia:Namenskonventionen/Abkürzungen,14,10,0,0,,,,
de,Wikipedia:Namenskonventionen/Albanische Eigennamen,23,14,0,0,,,,
de,Wikipedia:Namenskonventionen/Altgriechisch,35,16,0,0,,,,
de,Wikipedia:Namenskonventionen/Britischer Adel,31,10,0,0,,,,
de,Wikipedia:Namenskonventionen/Indien/Devanagari,16,5,0,0,,,,
de,Wikipedia:Namenskonventionen/Latein,21,16,0,0,,,,
de,Wikipedia:Namenskonventionen/Medizin,46,29,0,0,,,,
de,Wikipedia:Namenskonventionen/Rumänisch,23,6,0,0,,,,
de,Wikipedia:Namenskonventionen/Somali,5,1,0,0,,,,
de,Wikipedia:Namenskonventionen/Staaten,407,146,0,0,,,,
de,Wikipedia:Namenskonventionen/Tropische Wirbelstürme,38,5,0,0,,,,
de,Wikipedia:Namenskonventionen/Usbekisch,5,3,0,0,,,,
de,Wikipedia:Redaktion Film und Fernsehen/Richtlinien,223,72,0,0,,,,
de,Wikipedia:Redaktion Musik/Leitfaden Musikartikel/Musikalische Werke,84,33,0,0,,,,
de,Wikipedia:Redaktion Recht/Richtlinien,150,35,0,0,,,,
de,Wikipedia:Richtlinien Biologie,382,134,0,0,,,,
de,Wikipedia:Richtlinien E-Sport,35,15,0,0,,,,
de,Wikipedia:Richtlinien Physik,218,33,0,0,,,,
de,Wikipedia:Richtlinien Software,92,33,0,0,,,,
de,Wikipedia:Richtlinien Studentenverbindungen,159,54,0,0,,,,
de,Wikipedia:Richtlinien Südosteuropa,74,28,0,0,,,,
de,Wikipedia:Richtlinien Wirtschaft,145,30,0,0,,,,
de,Wikipedia:Spaltensatz,62,31,0,0,,,,
de,Wikipedia:Systematik,67,43,0,0,,,,
de,Wikipedia:Was ist relevant für aktuelle Ereignisse?,53,40,0,0,,,,
de,Wikipedia:Wie zitiert man Bibelstellen,184,108,0,0,,,,
de,Wikipedia:Wie zitiert man antike und mittelalterliche Autoren und Werke,54,21,0,0,,,,
fr,Aide:Signature,29,4,0,0,,,,
fr,Projet:Parcs de loisirs/Recommandations,30,6,0,0,,,,
fr,Projet:Suisse/Admissibilité,57,9,0,0,,,,
fr,Projet:Tennis/Critères d'admissibilité,83,25,0,0,,,,
fr,Wikipédia:Accessibilité,99,67,0,0,,,,
fr,Wikipédia:Articles consacrés à la pornographie,103,22,0,0,,,,
fr,Wikipédia:Code de bonne conduite,65,44,0,0,,,,
fr,Wikipédia:Contenu évasif,209,131,0,0,,,,
fr,Wikipédia:Contestation du statut de bureaucrate,28,12,0,0,,,,
fr,Wikipédia:Conventions sur les titres d'œuvres de musique classique,80,22,0,0,,,,
fr,Wikipédia:Conventions sur les titres de personnages de la mythologie grecque,43,7,0,0,,,,
