Language,Rule Name,number_revisions,number_unique_users,ILLs Total,ILLs in Set,,,,
,,,,,,,,,en Wikipedia:Manual of Style/Computing (failed proposal)
,,,,,,,,,en Wikipedia:Manual of Style/France and French-related articles
,,,,,,,,,en Wikipedia:Manual of Style/Hidden text
,,,,,,,,,en Wikipedia:Manual of Style/Infoboxes
,,,,,,,,,en Wikipedia:Manual of Style/Islam-related articles
,,,,,,,,,en Wikipedia:Manual of Style/Lists
,,,,,,,,,en Wikipedia:Manual of Style/Mathematics
,,,,,,,,,en Wikipedia:Manual of Style/Military history
,,,,,,,,,en Wikipedia:Manual of Style/Music samples
,,,,,,,,,en Wikipedia:Manual of Style/Philosophy
,,,,,,,,,en Wikipedia:Manual of Style/Pronunciation
,,,,,,,,,en Wikipedia:Manual of Style/Television
,,,,,,,,,en Wikipedia:Manual of Style/Titles
,,,,,,,,,en Wikipedia:Naming conventions (astronomical objects)
,,,,,,,,,en Wikipedia:Naming conventions (books)
,,,,,,,,,en Wikipedia:Naming conventions (capitalization)
,,,,,,,,,en Wikipedia:Naming conventions (chemistry)
,,,,,,,,,en Wikipedia:Naming conventions (comics)
,,,,,,,,,en Wikipedia:Naming conventions (events)
,,,,,,,,,en Wikipedia:Naming conventions (fauna)
,,,,,,,,,en Wikipedia:Naming conventions (films)
,,,,,,,,,en Wikipedia:Naming conventions (flora)
,,,,,,,,,en Wikipedia:Naming conventions (music)
,,,,,,,,,en Wikipedia:Naming conventions (people)
,,,,,,,,,en Wikipedia:Naming conventions (royalty and nobility)
,,,,,,,,,en Wikipedia:Naming conventions (sports teams)
,,,,,,,,,en Wikipedia:Naming conventions (television)
,,,,,,,,,en Wikipedia:Naming conventions (use English)
,,,,,,,,,en Wikipedia:Naming conventions (video games)
,,,,,,,,,en Wikipedia:Non-free use rationale guideline
,,,,,,,,,en Wikipedia:Notability (astronomical objects)
,,,,,,,,,en Wikipedia:Notability (films)
,,,,,,,,,en Wikipedia:Page blanking
,,,,,,,,,en Wikipedia:Page mover
,,,,,,,,,en Wikipedia:Password strength requirements
,,,,,,,,,en Wikipedia:Preparing images for upload
,,,,,,,,,en Wikipedia:Proposed deletion (books)
,,,,,,,,,en Wikipedia:Public domain
,,,,,,,,,en Wikipedia:Reviewing good articles
,,,,,,,,,en Wikipedia:Set index articles
,,,,,,,,,en Wikipedia:Spam blacklist
,,,,,,,,,en Wikipedia:Stand-alone lists
,,,,,,,,,en Wikipedia:Substitution
,,,,,,,,,en Wikipedia:Talk page templates
,,,,,,,,,en Wikipedia:Template editor
,,,,,,,,,en Wikipedia:Template namespace
,,,,,,,,,en Wikipedia:TemplateStyles
,,,,,,,,,en Wikipedia:Wikipedia is not for things made up one day
,,,,,,,,,es Wikipedia:Acerca de firmar artículos
,,,,,,,,,es Wikipedia:Convenciones idiomáticas
,,,,,,,,,es Wikipedia:Creación de artículos con bot
,,,,,,,,,es Wikipedia:Espacio principal
,,,,,,,,,es Wikipedia:Para bibliotecarios
,,,,,,,,,es Wikipedia:Política de restauración
,,,,,,,,,es Wikipedia:Pseudobots
,,,,,,,,,es Wikipedia:Wikipedia no es de papel
,,,,,,,,,fr Projet:Hockey sur glace/Conventions/Notoriété
,,,,,,,,,fr Wikipédia:Notoriété dans le domaine de la pornographie
,,,,,,,,,fr Wikipédia:Notoriété des personnalités politiques
,,,,,,,,,fr Wikipédia:Style encyclopédique
,,,,,,,,,fr Wikipédia:Traduction automatique
,,,,,,,,,fr Wikipédia:Sources de presse
,,,,,,,,,ja Wikipedia:プロジェクト間の移動
